human_readable_date,machine_readable_date
march 10 2019,2019-03-10
september 12 2016,2016-09-12
wednesday 16 april 1980,1980-04-16
sep 7 1987,1987-09-07
friday november 13 2015,2015-11-13
06/04/2013,2013-04-06
november 28 1976,1976-11-28
4/13/92,1992-04-13
27 december 2008,2008-12-27
11 july 1981,1981-07-11
nov 2 1971,1971-11-02
jan 2 1998,1998-01-02
september 5 1997,1997-09-05
saturday february 8 1975,1975-02-08
10 january 1977,1977-01-10
06/07/1978,1978-07-06
20 september 1991,1991-09-20
14 april 2002,2002-04-14
july 7 2009,2009-07-07
july 31 2000,2000-07-31
tuesday january 13 1998,1998-01-13
wednesday 14 march 1984,1984-03-14
sunday august 7 1983,1983-08-07
friday july 26 1991,1991-07-26
22 july 2012,2012-07-22
may 13 2016,2016-05-13
sunday 1 november 1992,1992-11-01
15 may 1992,1992-05-15
31 january 1999,1999-01-31
23 apr 1976,1976-04-23
sep 18 2012,2012-09-18
march 29 2005,2005-03-29
28/06/2003,2003-06-28
july 22 1997,1997-07-22
jul 18 1975,1975-07-18
january 16 1984,1984-01-16
jan 3 2009,2009-01-03
jul 6 1986,1986-07-06
may 22 1972,1972-05-22
september 26 1983,1983-09-26
monday june 7 1976,1976-06-07
saturday september 13 1975,1975-09-13
december 14 1982,1982-12-14
march 31 1987,1987-03-31
fri 10 mar 2017,2017-03-10
apr 16 1989,1989-04-16
10/5/90,1990-10-05
december 21 2016,2016-12-21
june 23 1987,1987-06-23
february 12 1981,1981-02-12
17/06/2012,2012-06-17
january 4 1978,1978-01-04
aug 4 1971,1971-08-04
3/17/88,1988-03-17
thursday 11 january 2018,2018-01-11
tue 3 dec 1985,1985-12-03
wednesday december 12 1984,1984-12-12
january 21 2009,2009-01-21
march 2 1986,1986-03-02
wednesday 24 october 1973,1973-10-24
thursday november 19 1970,1970-11-19
tue 19 nov 2013,2013-11-19
13 january 2012,2012-01-13
june 20 1990,1990-06-20
thursday 5 january 1989,1989-01-05
april 25 1979,1979-04-25
12 april 2017,2017-04-12
8 january 2014,2014-01-08
november 8 1992,1992-11-08
october 24 2010,2010-10-24
31 jan 2019,2019-01-31
jun 11 2000,2000-06-11
may 31 1980,1980-05-31
18/06/2013,2013-06-18
19 august 1988,1988-08-19
thursday october 25 2007,2007-10-25
june 17 1999,1999-06-17
aug 31 1980,1980-08-31
mon 16 mar 1981,1981-03-16
aug 12 1997,1997-08-12
3 february 2018,2018-02-03
march 28 1978,1978-03-28
10 december 2016,2016-12-10
july 9 1978,1978-07-09
june 29 2009,2009-06-29
mar 1 1999,1999-03-01
jun 18 1993,1993-06-18
sunday march 31 1985,1985-03-31
12/1/77,1977-12-01
tuesday 10 may 2011,2011-05-10
thursday july 12 1973,1973-07-12
8 may 2005,2005-05-08
28 february 1983,1983-02-28
13 september 1999,1999-09-13
sep 23 1981,1981-09-23
september 23 1981,1981-09-23
jul 7 1975,1975-07-07
25 october 1977,1977-10-25
21 december 1989,1989-12-21
thursday february 19 1970,1970-02-19
5/2/14,2014-05-02
jun 17 1991,1991-06-17
01/10/2015,2015-10-01
aug 30 2019,2019-08-30
may 13 1997,1997-05-13
thursday february 15 2001,2001-02-15
february 2 2006,2006-02-02
wednesday 15 may 2019,2019-05-15
sep 13 1973,1973-09-13
sunday may 31 2015,2015-05-31
mar 2 1981,1981-03-02
12/31/77,1977-12-31
december 23 2000,2000-12-23
december 4 2007,2007-12-04
11 september 1992,1992-09-11
11 november 1970,1970-11-11
12/22/74,1974-12-22
january 18 2009,2009-01-18
11/6/20,2020-11-06
23 may 1977,1977-05-23
may 7 1976,1976-05-07
monday august 24 1992,1992-08-24
july 6 1987,1987-07-06
26 september 2013,2013-09-26
november 6 1975,1975-11-06
jan 26 2015,2015-01-26
26 jun 1990,1990-06-26
feb 28 2015,2015-02-28
january 6 1973,1973-01-06
november 6 1971,1971-11-06
march 25 1983,1983-03-25
december 12 1984,1984-12-12
dec 1 2004,2004-12-01
wednesday june 23 2004,2004-06-23
september 8 2017,2017-09-08
30 october 1970,1970-10-30
27 aug 1980,1980-08-27
august 15 1971,1971-08-15
tuesday 12 may 2015,2015-05-12
sep 5 2020,2020-09-05
19 november 2005,2005-11-19
13 march 1979,1979-03-13
3/29/91,1991-03-29
july 30 1978,1978-07-30
july 6 1998,1998-07-06
monday 19 september 1988,1988-09-19
tuesday june 7 1977,1977-06-07
28 may 1996,1996-05-28
sep 17 1976,1976-09-17
thursday november 1 1984,1984-11-01
april 27 1986,1986-04-27
saturday june 11 1983,1983-06-11
wed 29 may 1985,1985-05-29
friday august 13 1976,1976-08-13
july 6 1990,1990-07-06
jul 14 1978,1978-07-14
10/9/07,2007-10-09
july 10 1996,1996-07-10
jun 29 1979,1979-06-29
4 feb 2014,2014-02-04
tuesday august 19 1975,1975-08-19
sunday july 9 2000,2000-07-09
2 mar 2003,2003-03-02
22 march 1970,1970-03-22
mar 2 1982,1982-03-02
oct 31 1982,1982-10-31
27/02/2013,2013-02-27
9 march 1991,1991-03-09
july 26 1997,1997-07-26
6/19/76,1976-06-19
6 march 1990,1990-03-06
feb 2 1984,1984-02-02
